Date,USDKRW
30/04/2002,1219.5
02/06/2002,1201.2
30/06/2002,1188
31/07/2002,1201.9
01/09/2002,1227.7
30/09/2002,1221.3
31/10/2002,1208.7
01/12/2002,1184.2
31/12/2002,1173
02/02/2003,1193.6
02/03/2003,1254.4
31/03/2003,1214
30/04/2003,1205.5
01/06/2003,1188.03
30/06/2003,1180
31/07/2003,1177.95
31/08/2003,1142.26
30/09/2003,1183.25
02/11/2003,1202.05
30/11/2003,1191.6
31/12/2003,1173.65
01/02/2004,1176.05
29/02/2004,1147.17
31/03/2004,1173
02/05/2004,1160
31/05/2004,1155
30/06/2004,1168.6
01/08/2004,1151.7
31/08/2004,1150
30/09/2004,1117.35
31/10/2004,1048
30/11/2004,1032
02/01/2005,1022.6
31/01/2005,1004
28/02/2005,1017
31/03/2005,994
01/05/2005,1008
31/05/2005,1034.5
30/06/2005,1026
31/07/2005,1038
31/08/2005,1043
02/10/2005,1039
31/10/2005,1036
30/11/2005,1007
01/01/2006,963.75
31/01/2006,970
28/02/2006,971
02/04/2006,942.9
30/04/2006,948.2
31/05/2006,949.2
02/07/2006,955.3
31/07/2006,961
31/08/2006,946
01/10/2006,941.7
31/10/2006,929.5
30/11/2006,928.25
31/12/2006,941.2
31/01/2007,941.5
28/02/2007,940.7
01/04/2007,930.5
30/04/2007,928.4
31/05/2007,922.1
01/07/2007,919.1
31/07/2007,938.1
02/09/2007,915
30/09/2007,900.4
31/10/2007,920.8
02/12/2007,935.8
31/12/2007,943.6
31/01/2008,938.8
02/03/2008,990.1
31/03/2008,1002.8
30/04/2008,1028.1
01/06/2008,1050.9
30/06/2008,1012
31/07/2008,1089.1
31/08/2008,1206.4
30/09/2008,1277.5
02/11/2008,1468.1
30/11/2008,1262.1
31/12/2008,1380.1
01/02/2009,1532.8
01/03/2009,1372.4
31/03/2009,1277.05
30/04/2009,1257.1
31/05/2009,1272.6
30/06/2009,1222.3
02/08/2009,1248.1
31/08/2009,1175.1
30/09/2009,1186.2
01/11/2009,1161.7
30/11/2009,1163.8
31/12/2009,1161.4
31/01/2010,1159.1
28/02/2010,1130.9
31/03/2010,1108.1
02/05/2010,1201.7
31/05/2010,1220.8
30/06/2010,1184.05
01/08/2010,1198.1
31/08/2010,1140.2
30/09/2010,1124.7
31/10/2010,1157
30/11/2010,1119.5
02/01/2011,1119.5
31/01/2011,1126
28/02/2011,1093.5
31/03/2011,1068.2
01/05/2011,1082
31/05/2011,1066.4
30/06/2011,1054.1
31/07/2011,1065
31/08/2011,1180.9
02/10/2011,1111.8
31/10/2011,1140
30/11/2011,1158.1
01/01/2012,1125.7
31/01/2012,1117.65
29/02/2012,1132.8
01/04/2012,1130.1
30/04/2012,1180.2
31/05/2012,1145.3
01/07/2012,1130.4
31/07/2012,1132.7
02/09/2012,1111.3
30/09/2012,1089.9
31/10/2012,1082
02/12/2012,1064.4
31/12/2012,1088.52
31/01/2013,1086.95
28/02/2013,1110
31/03/2013,1100
30/04/2013,1128
02/06/2013,1141.1
30/06/2013,1122.1
31/07/2013,1109.15
01/09/2013,1073.1
30/09/2013,1060.2
31/10/2013,1057.7
01/12/2013,1049.5
31/12/2013,1082.51
02/02/2014,1071.2
02/03/2014,1062.5
31/03/2014,1031.37
30/04/2014,1020.3
01/06/2014,1011.71
30/06/2014,1032.13
31/07/2014,1015.18
31/08/2014,1058.33
30/09/2014,1073.85
02/11/2014,1112.49
30/11/2014,1090
31/12/2014,1102.15
01/02/2015,1102.15
01/03/2015,1109.8
31/03/2015,1075.5
30/04/2015,1111
31/05/2015,1115
30/06/2015,1158.5
02/08/2015,1182.4
31/08/2015,1184.7
30/09/2015,1141.05
01/11/2015,1158.2
30/11/2015,1175
31/12/2015,1208
31/01/2016,1238.4
29/02/2016,1144
31/03/2016,1140
01/05/2016,1188
31/05/2016,1149.75
30/06/2016,1112
31/07/2016,1117.1
31/08/2016,1098.25
02/10/2016,1146
31/10/2016,1172.1
30/11/2016,1207.65
01/01/2017,1150
31/01/2017,1135.5
28/02/2017,1116
02/04/2017,1136.7
30/04/2017,1119.5
31/05/2017,1143.88
02/07/2017,1119
31/07/2017,1124.2
31/08/2017,1144
01/10/2017,1117
31/10/2017,1086.5
30/11/2017,1066.7
31/12/2017,1068
31/01/2018,1083
28/02/2018,1061
01/04/2018,1068.5
30/04/2018,1079
31/05/2018,1111.5
01/07/2018,1111
31/07/2018,1112.8
02/09/2018,1109
30/09/2018,1140
31/10/2018,1118.5
02/12/2018,1113.5
31/12/2018,1112
31/01/2019,1122.5
28/02/2019,1136.5
31/03/2019,1165
30/04/2019,1189
02/06/2019,1154.88
30/06/2019,1187.68
31/07/2019,1209
01/09/2019,1197.5
30/09/2019,1168.07
31/10/2019,1180.2
01/12/2019,1153.57
31/12/2019,1194.47
02/02/2020,1199.7
01/03/2020,1217.68
31/03/2020,1212.02
30/04/2020,1231.46
31/05/2020,1198.95
30/06/2020,1193
02/08/2020,1187.97
31/08/2020,1164.25
30/09/2020,1136.49
01/11/2020,1109.15
30/11/2020,1084.47
31/12/2020,1117.64
31/01/2021,1123.88
28/02/2021,1127.38
31/03/2021,1117.15
02/05/2021,1107.02
31/05/2021,1130.55
30/06/2021,1151.57
01/08/2021,1159.33
31/08/2021,1184.44
30/09/2021,1174.46
31/10/2021,1182.72
30/11/2021,1187.96
02/01/2022,1204.63
31/01/2022,1200.12
28/02/2022,1214.17
31/03/2022,1262.91
01/05/2022,1242.26
31/05/2022,1287.51
30/06/2022,1302.95
31/07/2022,1341.62
31/08/2022,1439.94
02/10/2022,1425.57
31/10/2022,1340.79