Date,close,,,,
01/06/2002,69.1,,,,
01/07/2002,69,,,,
01/08/2002,67.8,,,,
01/09/2002,66.8,,,,
01/10/2002,66.4,,,,
01/11/2002,66.4,,,,
01/12/2002,66.3,,,,
01/01/2003,65,,,,
01/02/2003,65.5,,,,
01/03/2003,66,,,,
01/04/2003,65.8,,,,
01/05/2003,66.3,,,,
01/06/2003,68.2,,,,
01/07/2003,68.8,,,,
01/08/2003,66.8,,,,
01/09/2003,66.3,,,,
01/10/2003,65.8,,,,
01/11/2003,65.3,,,,
01/12/2003,65.5,,,,
01/01/2004,64.6,,,,
01/02/2004,64.4,,,,
01/03/2004,65.1,,,,
01/04/2004,65.4,,,,
01/05/2004,65.4,,,,
01/06/2004,66.7,,,,
01/07/2004,68.5,,,,
01/08/2004,66.4,,,,
01/09/2004,65.3,,,,
01/10/2004,65.3,,,,
01/11/2004,64.8,,,,
01/12/2004,64.9,,,,
01/01/2005,64.5,,,,
01/02/2005,63.9,,,,
01/03/2005,64.3,,,,
01/04/2005,64.5,,,,
01/05/2005,64.9,,,,
01/06/2005,66.8,,,,
01/07/2005,67.6,,,,
01/08/2005,66.5,,,,
01/09/2005,65,,,,
01/10/2005,64.7,,,,
01/11/2005,65.5,,,,
01/12/2005,65,,,,
01/01/2006,64,,,,
01/02/2006,64.4,,,,
01/03/2006,64.5,,,,
01/04/2006,64.6,,,,
01/05/2006,64.9,,,,
01/06/2006,67.5,,,,
01/07/2006,69,,,,
01/08/2006,67.1,,,,
01/09/2006,65.8,,,,
01/10/2006,66.3,,,,
01/11/2006,65.9,,,,
01/12/2006,65.5,,,,
01/01/2007,65.6,,,,
01/02/2007,65.5,,,,
01/03/2007,65.2,,,,
01/04/2007,66.1,,,,
01/05/2007,66.8,,,,
01/06/2007,67.6,,,,
01/07/2007,69.9,,,,
01/08/2007,68.4,,,,
01/09/2007,66.3,,,,
01/10/2007,66.8,,,,
01/11/2007,67,,,,
01/12/2007,66.1,,,,
01/01/2008,65.7,,,,
01/02/2008,66.2,,,,
01/03/2008,66,,,,
01/04/2008,66.7,,,,
01/05/2008,66.9,,,,
01/06/2008,68.2,,,,
01/07/2008,69.7,,,,
01/08/2008,68,,,,
01/09/2008,66.3,,,,
01/10/2008,66.5,,,,
01/11/2008,66,,,,
01/12/2008,65.4,,,,
01/01/2009,64.7,,,,
01/02/2009,64.4,,,,
01/03/2009,64.3,,,,
01/04/2009,64.3,,,,
01/05/2009,64.6,,,,
01/06/2009,66.3,,,,
01/07/2009,66.8,,,,
01/08/2009,65.2,,,,
01/09/2009,64.2,,,,
01/10/2009,63.8,,,,
01/11/2009,64,,,,
01/12/2009,63.7,,,,
01/01/2010,62.6,,,,
01/02/2010,63.1,,,,
01/03/2010,63.3,,,,
01/04/2010,63.6,,,,
01/05/2010,63.8,,,,
01/06/2010,66.1,,,,
01/07/2010,67.3,,,,
01/08/2010,65.3,,,,
01/09/2010,64.6,,,,
01/10/2010,64.5,,,,
01/11/2010,64.4,,,,
01/12/2010,64.3,,,,
01/01/2011,64.1,,,,
01/02/2011,64.3,,,,
01/03/2011,64.3,,,,
01/04/2011,65,,,,
01/05/2011,65,,,,
01/06/2011,66.9,,,,
01/07/2011,67.9,,,,
01/08/2011,66.6,,,,
01/09/2011,65.3,,,,
01/10/2011,65.3,,,,
01/11/2011,65.1,,,,
01/12/2011,64.9,,,,
01/01/2012,63.7,,,,
01/02/2012,64.2,,,,
01/03/2012,65.1,,,,
01/04/2012,64.8,,,,
01/05/2012,64.9,,,,
01/06/2012,67.3,,,,
01/07/2012,68,,,,
01/08/2012,66.3,,,,
01/09/2012,65.5,,,,
01/10/2012,65.3,,,,
01/11/2012,64.9,,,,
01/12/2012,65.1,,,,
01/01/2013,64.1,,,,
01/02/2013,64.4,,,,
01/03/2013,65,,,,
01/04/2013,65,,,,
01/05/2013,65.3,,,,
01/06/2013,67.3,,,,
01/07/2013,68.5,,,,
01/08/2013,66.6,,,,
01/09/2013,65.7,,,,
01/10/2013,66.2,,,,
01/11/2013,65.6,,,,
01/12/2013,65.2,,,,
01/01/2014,64.3,,,,
01/02/2014,64.7,,,,
01/03/2014,65.4,,,,
01/04/2014,65.3,,,,
01/05/2014,65.9,,,,
01/06/2014,67.6,,,,
01/07/2014,69.1,,,,
01/08/2014,67.4,,,,
01/09/2014,66.6,,,,
01/10/2014,66.1,,,,
01/11/2014,66.2,,,,
01/12/2014,65.9,,,,
01/01/2015,65.2,,,,
01/02/2015,65.4,,,,
01/03/2015,65.8,,,,
01/04/2015,65.7,,,,
01/05/2015,66.6,,,,
01/06/2015,67.6,,,,
01/07/2015,68.9,,,,
01/08/2015,68.3,,,,
01/09/2015,66.5,,,,
01/10/2015,66.7,,,,
01/11/2015,66.9,,,,
01/12/2015,66.2,,,,
01/01/2016,65.7,,,,
01/02/2016,65.9,,,,
01/03/2016,66.2,,,,
01/04/2016,66.7,,,,
01/05/2016,66.9,,,,
01/06/2016,68.6,,,,
01/07/2016,69.1,,,,
01/08/2016,67.7,,,,
01/09/2016,67,,,,
01/10/2016,67.1,,,,
01/11/2016,67.3,,,,
01/12/2016,66.4,,,,
01/01/2017,66.2,,,,
01/02/2017,66.7,,,,
01/03/2017,67.2,,,,
01/04/2017,67.2,,,,
01/05/2017,67.4,,,,
01/06/2017,69.3,,,,
01/07/2017,69.8,,,,
01/08/2017,69,,,,
01/09/2017,68.1,,,,
01/10/2017,67.9,,,,
01/11/2017,67.8,,,,
01/12/2017,67.3,,,,
01/01/2018,66.8,,,,
01/02/2018,67.7,,,,
01/03/2018,67.7,,,,
01/04/2018,67.7,,,,
01/05/2018,68.5,,,,
01/06/2018,69.7,,,,
01/07/2018,70.7,,,,
01/08/2018,68.9,,,,
01/09/2018,68.1,,,,
01/10/2018,68.1,,,,
01/11/2018,68.1,,,,
01/12/2018,67.9,,,,
01/01/2019,67,,,,
01/02/2019,67.1,,,,
01/03/2019,68,,,,
01/04/2019,68.1,,,,
01/05/2019,67.4,,,,
01/06/2019,69.9,,,,
01/07/2019,70.2,,,,
01/08/2019,68.8,,,,
01/09/2019,68.7,,,,
01/10/2019,68.3,,,,
01/11/2019,68.3,,,,
01/12/2019,68,,,,
01/01/2020,66.9,,,,
01/02/2020,67.4,,,,
01/03/2020,67.1,,,,
01/04/2020,66.4,,,,
01/05/2020,66.7,,,,
01/06/2020,67.7,,,,
01/07/2020,68.3,,,,
01/08/2020,67.9,,,,
01/09/2020,66.8,,,,
01/10/2020,67.1,,,,
01/11/2020,67.1,,,,
01/12/2020,67,,,,
01/01/2021,64.7,,,,
01/02/2021,65.9,,,,
01/03/2021,65.8,,,,
01/04/2021,66.8,,,,
01/05/2021,67.2,,,,
01/06/2021,68.5,,,,
01/07/2021,70.1,,,,
01/08/2021,68.2,,,,
01/09/2021,67.8,,,,
01/10/2021,67.5,,,,
01/11/2021,67.9,,,,
01/12/2021,67.6,,,,
01/01/2022,67,,,,
01/02/2022,67.9,,,,
01/03/2022,67.7,,,,
01/04/2022,68.5,,,,
01/05/2022,68.7,,,,
01/06/2022,70.7,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,